2017_05_26 09:32:57 INFO    VM hekrtevvpsg is stoping
2017_05_26 09:33:15 INFO    云主机hekrtevvpsg停止成功
2017_05_26 09:33:15 INFO    End case: stop vm hekrtevvpsg

2017_05_26 09:33:24 INFO    卸载云磁盘成功
2017_05_26 09:33:24 INFO    End case:unmount disk data0526093233

2017_05_26 09:33:24 INFO    Begin case:disk data0526093233 create snapshot 
2017_05_26 09:33:43 INFO    云磁盘data0526093233创建快照成功
2017_05_26 09:33:45 INFO    snapshot name : detached_data0526093233_20170526013327
2017_05_26 09:33:45 INFO    End case:disk data0526093233 create snapshot 

2017_05_26 09:33:45 INFO    Begin case:delete snapshot  detached_data0526093233_20170526013327 
2017_05_26 09:33:51 INFO    成功删除快照
2017_05_26 09:33:51 INFO    End case: delete snapshot detached_data0526093233_20170526013327

2017_05_26 09:33:51 INFO    Begin case:delete disk data0526093233 
2017_05_26 09:33:55 INFO    云磁盘data0526093233删除成功
2017_05_26 09:33:55 INFO    End case: delete disk data0526093233

2017_05_26 09:33:58 INFO    enter vm management
2017_05_26 09:33:58 INFO    Begin case: delete vm hekrtevvpsg
2017_05_26 09:34:17 INFO    云主机hekrtevvpsg删除成功
2017_05_26 09:34:17 INFO    End case: delete vm hekrtevvpsg

2017_05_26 09:39:36 INFO    Begin case: create vm, name is: jhzsvmjpimrkcq.
2017_05_26 09:39:40 INFO    Begin case: create vm, name is: oxmnja.
2017_05_26 09:41:00 INFO    云主机jhzsvmjpimrkcq创建成功
2017_05_26 09:41:02 INFO    End case: create vm name: jhzsvmjpimrkcq success

2017_05_26 09:41:03 INFO    云主机oxmnja创建成功
2017_05_26 09:41:04 INFO    End case: create vm name: oxmnja success

2017_05_26 09:41:05 INFO    enter vm management
2017_05_26 09:41:05 INFO    Begin case: stop vm jhzsvmjpimrkcq
2017_05_26 09:41:07 INFO    enter vm management
2017_05_26 09:41:07 INFO    Begin case: stop vm oxmnja
2017_05_26 09:41:10 INFO    VM jhzsvmjpimrkcq is stoping
2017_05_26 09:41:11 INFO    VM oxmnja is stoping
2017_05_26 09:41:23 INFO    云主机jhzsvmjpimrkcq停止成功
2017_05_26 09:41:23 INFO    End case: stop vm jhzsvmjpimrkcq

2017_05_26 09:41:23 INFO    Begin case: start vm jhzsvmjpimrkcq
2017_05_26 09:41:24 INFO    云主机oxmnja停止成功
2017_05_26 09:41:24 INFO    End case: stop vm oxmnja

2017_05_26 09:41:24 INFO    Begin case: start vm oxmnja
2017_05_26 09:41:27 INFO    VM jhzsvmjpimrkcq is starting!
2017_05_26 09:41:29 INFO    VM oxmnja is starting!
2017_05_26 09:41:50 INFO    云主机jhzsvmjpimrkcq启动成功
2017_05_26 09:41:50 INFO    End case: start vm jhzsvmjpimrkcq

2017_05_26 09:41:50 INFO    Begin case: restart vm jhzsvmjpimrkcq
2017_05_26 09:41:51 INFO    云主机oxmnja启动成功
2017_05_26 09:41:51 INFO    End case: start vm oxmnja

2017_05_26 09:41:51 INFO    Begin case: restart vm oxmnja
2017_05_26 09:41:54 INFO    VM jhzsvmjpimrkcq is restarting
2017_05_26 09:41:56 INFO    VM oxmnja is restarting
2017_05_26 09:42:17 INFO    云主机jhzsvmjpimrkcq重启成功
2017_05_26 09:42:17 INFO    End case: restart vm jhzsvmjpimrkcq

2017_05_26 09:42:17 INFO    Begin case: security management vm jhzsvmjpimrkcq
2017_05_26 09:42:21 INFO    VM jhzsvmjpimrkcq 查看密钥
2017_05_26 09:42:24 INFO    云主机oxmnja重启成功
2017_05_26 09:42:24 INFO    End case: restart vm oxmnja

2017_05_26 09:42:24 INFO    Begin case: security management vm oxmnja
2017_05_26 09:42:24 INFO    End case: security management vm jhzsvmjpimrkcq

2017_05_26 09:42:27 INFO    Begin case: create disk data0526094227
2017_05_26 09:42:28 INFO    VM oxmnja 查看密钥
2017_05_26 09:42:31 INFO    End case: security management vm oxmnja

2017_05_26 09:42:34 INFO    Begin case: create disk data0526094234
2017_05_26 09:42:34 INFO    云磁盘data0526094227创建成功
2017_05_26 09:42:34 INFO    End case: create disk data0526094227

2017_05_26 09:42:34 INFO    Begin case:mount disk data0526094227
2017_05_26 09:42:42 INFO    云磁盘data0526094234创建成功
2017_05_26 09:42:42 INFO    End case: create disk data0526094234

2017_05_26 09:42:42 INFO    Begin case:mount disk data0526094234
2017_05_26 09:42:44 INFO    挂载成功
2017_05_26 09:42:44 INFO    End case:mount disk data0526094227

2017_05_26 09:42:44 INFO    Begin case:unmount disk data0526094227
2017_05_26 09:42:44 WARNING VM status is 运行,can not create snapshot,so stop vm first!
2017_05_26 09:42:47 INFO    enter vm management
2017_05_26 09:42:47 INFO    Begin case: stop vm jhzsvmjpimrkcq
2017_05_26 09:42:50 INFO    挂载成功
2017_05_26 09:42:51 INFO    End case:mount disk data0526094234

2017_05_26 09:42:51 INFO    Begin case:unmount disk data0526094234
2017_05_26 09:42:51 WARNING VM status is 运行,can not create snapshot,so stop vm first!
2017_05_26 09:42:52 INFO    VM jhzsvmjpimrkcq is stoping
2017_05_26 09:42:54 INFO    enter vm management
2017_05_26 09:42:54 INFO    Begin case: stop vm oxmnja
2017_05_26 09:42:58 INFO    VM oxmnja is stoping
2017_05_26 09:43:05 INFO    云主机jhzsvmjpimrkcq停止成功
2017_05_26 09:43:05 INFO    End case: stop vm jhzsvmjpimrkcq

2017_05_26 09:43:13 INFO    卸载云磁盘成功
2017_05_26 09:43:13 INFO    End case:unmount disk data0526094227

2017_05_26 09:43:14 INFO    Begin case:disk data0526094227 create snapshot 
2017_05_26 09:43:16 INFO    云主机oxmnja停止成功
2017_05_26 09:43:16 INFO    End case: stop vm oxmnja

2017_05_26 09:43:25 INFO    卸载云磁盘成功
2017_05_26 09:43:25 INFO    End case:unmount disk data0526094234

2017_05_26 09:43:25 INFO    Begin case:disk data0526094234 create snapshot 
